ans,diagram,num,optA,optB,optC,optD,subject,text,type
C,,1,8,2,-4,-6,math,"Let $\mathbb{R}$ denote the set of all real numbers. Let $a_i, b_i \in \mathbb{R}$ for $i \in \\{1, 2, 3\\}$. Define the functions $f: \mathbb{R} \to \mathbb{R}, g: \mathbb{R} \to \mathbb{R}$, and $h: \mathbb{R} \to \mathbb{R}$ by $$\begin{align}f(x) &= a_1 + 10x + a_2x^2 + a_3x^3 + x^4 \\\ g(x) &= b_1 + 3x + b_2x^2 + b_3x^3 + x^4 \\\ h(x) &= f(x + 1) g(x + 2)\end{align}$$ If $f(x) \neq g(x)$ for every $x \in \mathbb{R}$, then the coefficient of $x^3$ in $h(x)$ is",SCA
A,,2,13/36,1/3,19/60,1/4,math,"Three students S1, S2, and S3 are given a problem to solve. Consider the following events: 

U: At least one of S1, S2, and S3 can solve the problem, 
V: S1 can solve the problem, given that neither S2 nor S3 can solve the problem, 
W: S2 can solve the problem and S3 cannot solve the problem, 
T: S3 can solve the problem. 

For any event E, let P(E) denote the probability of E. If P(U) = 1/2 , P(V) = 1/10 , and P(W) = 1/12 , then P(T) is equal to",SCA
C,,3,The function f is NOT differentiable at x = 0,"There is a positive real number $\delta$, such that f is a decreasing function on the interval $(0, \delta)$","For any positive real number $\delta$, the function f is NOT an increasing function on the interval $(-\delta, 0)$",x = 0 is a point of local minima of f,math,Let $\mathbb{R}$ denote the set of all real numbers. Define the function $f: \mathbb{R} \to \mathbb{R}$ by $$f(x) = \begin{cases}2 - 2x^2 - x^2 \sin \frac{1}{x} & x \neq 0 \\\ 2 & x = 0 \end{cases}$$ Then which one of the following statements is TRUE?,SCA
C,,4,32,8,16,24,math,"Consider the matrix $$P = \begin{bmatrix}2 & 0 & 0 \\\ 0 & 2 & 0 \\\ 0 & 0 & 3 \end{bmatrix}$$ Let the transpose of a matrix $X$ be denoted by $X^T$. Then the number of $3 \times 3$ invertible matrices $Q$ with integer entries, such that $Q^{-1} = Q^T$ and $PQ = QP$ is",SCA
AC,,5,The length of the line segment PQ is $9\sqrt{3}$,The length of the line segment QR is 15,The area of $\triangle PQR$ is $3\sqrt{234}/2$,The acute angle between the line segments PQ and PR is $\cos^{-1} \left( \frac{1}{2\sqrt{3}} \right)$,math,"Let $L_1$ be the line of intersection of the planes given by the equations $2x + 3y + z = 4$ and $x + 2y + z = 5$. Let $L_2$ be the line passing through the point $P(2, -1, 3)$ and parallel to $L_1$. Let M denote the plane given by the equation $2x + y - 2z = 6$. Suppose that the line $L_2$ meets the plane M at the point Q. Let R be the foot of the perpendicular drawn from P to the plane M. Then which of the following statements is (are) TRUE?",MCA
AD,,6,$g \circ f$ is **NOT** one-one and $g \circ f$ is **NOT** onto,$f \circ g$ is **NOT** one-one but $f \circ g$ is onto,$g$ is one-one and $g$ is onto,$f$ is **NOT** one-one but $f$ is onto,math,"Let $\mathbb{N}$ denote the set of all natural numbers, and $\mathbb{Z}$ denote the set of all integers. Consider the functions $f : \mathbb{N} \to \mathbb{Z}$ and $g : \mathbb{Z} \to \mathbb{N}$ defined by $$f(n) = \begin{cases} \frac{n + 1}{2} & n \text{ is odd} \\\ \frac{4 - n}{2} & n \text{ is even} \end{cases}$$ and $$g(n) = \begin{cases} 3 + 2n & n \geq 0, \\\ -2n & n < 0 \end{cases}$$

Define $(g \circ f)(n) = g(f(n))$ for all $n \in \mathbb{N}$, and $(f \circ g)(n) = f(g(n))$ for all $n \in \mathbb{Z}$. Then which of the following statements is (are) TRUE?",MCA
AD,,7,"$S$ is a circle with centre $\left(-\frac{1}{3}, \frac{10}{3}\right)$","$S$ is a circle with centre $\left(\frac{1}{3}, \frac{8}{3}\right)$",$S$ is a circle with radius $\frac{\sqrt{2}}{3}$,$S$ is a circle with radius $\frac{2\sqrt{2}}{3}$,math,"Let $\mathbb{R}$ denote the set of all real numbers. Let $z_1 = 1 + 2i$ and $z_2 = 3i$ be two complex numbers, where $i = \sqrt{-1}$. Let $$S = \{(x, y) \in \mathbb{R} \times \mathbb{R} : |x + iy - z_1| = 2|x + iy - z_2|\}$$ Then which of the following statements is (are) TRUE?",MCA
105,,8,,,,,math,"Let the set of all relations R on the set $\\{a, b, c, d, e, f\\}$, such that R is reflexive and symmetric, and R contains exactly 10 elements, be denoted by S. Then the number of elements in S is _________________.",NT
"[1.15,1.25]",,9,,,,,math,"For any two points M and N in the XY-plane, let MN denote the vector from M to N, and 0 denote the zero vector. Let P, Q and R be three distinct points in the XY-plane. Let S be a point inside the triangle PQR such that SP + 5SQ + 6SR = 0. Let E and F be the mid-points of the sides PR and QR, respectively. Then the value of (length of the line segment EF)/(length of the line segment ES) is _______________.",NT
762,,10,,,,,math,"Let S be the set of all seven-digit numbers that can be formed using the digits 0, 1 and 2. For example, 2210222 is in S, but 0210222 is NOT in S. Then the number of elements x in S such that at least one of the digits 0 and 1 appears exactly twice in x, is equal to ____________.",NT
